Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01 00:00:00,AliceSprings,19.6,37.6,0,11.2,9.8,WNW,87,NNE,NE,20,11,17,16,1010.5,1005.8,0,3,30.4,37.2,0,1.2,1
2008-12-02 00:00:00,AliceSprings,21,39.1,1.2,9,12.2,NNW,41,NNW,S,24,9,18,13,1009.3,1004.6,2,5,32.5,38.2,1,0,0
2008-12-03 00:00:00,AliceSprings,22.9,40.9,0,11.6,12.6,NNW,48,ENE,N,7,24,17,11,1006.3,1003.4,0,3,35,40.4,0,0,0
2008-12-04 00:00:00,AliceSprings,24.7,40.5,0,16,7.8,WNW,72,SSW,W,2,22,29,24,1008.7,1006.9,3,6,32.3,36.5,0,0.2,0
2008-12-05 00:00:00,AliceSprings,23.4,32.4,0.2,12.2,4.1,SSW,46,S,S,9,17,58,43,1014,1010.7,7,6,26.8,31.1,0,2.6,1
2008-12-06 00:00:00,AliceSprings,21.7,25.1,2.6,8.4,0.2,SSE,35,SSW,N,19,11,90,78,1014.3,1011.1,8,7,21.9,22.9,1,4.8,1
2008-12-07 00:00:00,AliceSprings,20.9,25.7,4.8,4.6,2.1,N,31,SSW,NNW,11,17,70,77,1011.4,1009.9,7,8,25,24.3,1,0.6,0
2008-12-08 00:00:00,AliceSprings,17.7,34.6,0.6,3,12.2,E,26,ENE,NNW,15,9,63,27,1010.9,1005.9,3,1,24.5,33.6,0,0,0
2008-12-09 00:00:00,AliceSprings,24.4,39,0,8,11,S,50,N,WNW,28,11,40,20,1006.2,1002.6,3,3,32.5,38,0,0,0
2008-12-10 00:00:00,AliceSprings,25.3,38.6,0,11.8,8.7,W,54,NNE,WSW,22,35,38,51,1005.9,1004.4,4,7,32.8,29.6,0,0,0
