MinTemp,MaxTemp,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,Rainfall,RISK_MM,RainToday,RainTomorrow
15.9,18.6,61,28,28,76,93,994.3,993,8,8,17.4,15.8,15.6,3.6,1,1
15.9,18.6,61,28,28,76,93,994.3,993,8,8,17.4,15.8,15.6,3.6,1,1
13.5,22.9,63,6,20,80,65,1005.8,1002.2,8,1,18,21.5,16.8,10.6,1,1
13.5,22.9,63,6,20,80,65,1005.8,1002.2,8,1,18,21.5,16.8,10.6,1,1
12.5,24.2,50,11,22,78,70,1005.6,1003.4,8,8,12.5,18.2,1.2,0.8,1,0
24.4,34,98,26,48,60,39,1005.3,997.8,4,1,26.1,33.1,0.6,6.4,0,1
16.1,21.6,46,11,15,58,69,1017,1017.3,2,8,17,17.3,0,3,0,1
15.4,22.3,30,11,9,69,78,1017.4,1019.2,8,8,18.3,19.6,0.4,1.8,0,1
18.4,28.1,98,7,17,92,49,1018.8,1012.9,8,6,19,27.4,8.6,12.6,1,1
13,24.9,46,6,11,75,47,1024.4,1020.3,8,6,18,24.4,8.4,6.2,1,1
13,24.9,46,6,11,75,47,1024.4,1020.3,8,6,18,24.4,8.4,6.2,1,1
12.9,15.8,70,19,15,83,89,1004.8,1000.9,8,8,13.3,14.5,20,21,1,1
12.9,15.8,70,19,15,83,89,1004.8,1000.9,8,8,13.3,14.5,20,21,1,1
4.5,11.5,26,9,13,82,79,1013.8,1013.5,8,8,7.6,9.4,3.2,4.8,1,1
4.5,11.5,26,9,13,82,79,1013.8,1013.5,8,8,7.6,9.4,3.2,4.8,1,1
7.6,14.5,35,15,20,83,48,1018,1018.3,8,1,10.1,14,4.8,0,1,0
12.4,16.4,52,22,24,82,54,1011.8,1013.4,8,8,13,14.5,1.8,0,1,0
12.4,16.4,52,22,24,82,54,1011.8,1013.4,8,8,13,14.5,1.8,0,1,0
11.6,18.1,19,2,6,97,74,1021.4,1019.2,8,3,13.6,17.4,4.2,0.8,1,0
11.6,18.1,19,2,6,97,74,1021.4,1019.2,8,3,13.6,17.4,4.2,0.8,1,0
8.4,13.4,13,0,7,78,75,1029.3,1026.2,8,8,10.6,13.4,1.4,4.8,1,1
8.4,13.4,13,0,7,78,75,1029.3,1026.2,8,8,10.6,13.4,1.4,4.8,1,1
8.9,17.4,13,2,4,99,58,1021,1017.5,8,7,11.3,16.5,8,0,1,0
8.9,17.4,13,2,4,99,58,1021,1017.5,8,7,11.3,16.5,8,0,1,0
4.7,11.6,30,6,17,93,80,1007.5,1006.3,8,8,10,11.5,14.4,4.6,1,1
4.7,11.6,30,6,17,93,80,1007.5,1006.3,8,8,10,11.5,14.4,4.6,1,1
6.3,8.8,43,13,13,92,95,1011.1,1008.3,8,8,6.8,7.9,2,5.6,1,1
6.3,8.8,43,13,13,92,95,1011.1,1008.3,8,8,6.8,7.9,2,5.6,1,1
