MinTemp,MaxTemp,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,Rainfall,RainToday,RainTomorrow
17.5,32.3,41,7,20,82,33,1010.8,1006,7,8,17.8,29.7,1,0,0
15.9,21.7,31,15,13,89,91,1010.5,1004.2,8,8,15.9,17,2.2,1,1
15.9,18.6,61,28,28,76,93,994.3,993,8,8,17.4,15.8,15.6,1,1
14.1,20.9,22,11,9,69,82,1012.2,1010.4,8,1,17.2,18.1,0,0,1
13.5,22.9,63,6,20,80,65,1005.8,1002.2,8,1,18,21.5,16.8,1,1
12.5,24.2,50,11,22,78,70,1005.6,1003.4,8,8,12.5,18.2,1.2,1,0
24.4,34,98,26,48,60,39,1005.3,997.8,4,1,26.1,33.1,0.6,0,1
18.4,31.2,37,7,11,66,31,1009.3,1007.8,7,8,18.7,29.4,0.4,0,0
16.1,21.6,46,11,15,58,69,1017,1017.3,2,8,17,17.3,0,0,1
12.9,29.6,46,7,24,54,14,1014,1012.7,6,7,18.7,28.6,0,0,0
8.9,31.9,43,0,17,49,16,1016.6,1013.4,7,7,15,29.3,0,0,0
14.6,30,37,4,19,56,30,1014.8,1012.7,3,1,18.1,29,0,0,0
15.4,22.3,30,11,9,69,78,1017.4,1019.2,8,8,18.3,19.6,0.4,0,1
18.4,28.1,98,7,17,92,49,1018.8,1012.9,8,6,19,27.4,8.6,1,1
11.6,26.7,48,6,11,59,42,1021.5,1017.7,8,7,16.4,24.3,0,0,1
13,24.9,46,6,11,75,47,1024.4,1020.3,8,6,18,24.4,8.4,1,1
6.6,21.6,26,6,11,59,39,1018.5,1016.8,5,1,12.6,21.6,0,0,0
10.6,16.2,39,7,4,74,86,1008.9,1002.4,8,8,14.9,15.1,0,0,1
12.9,15.8,70,19,15,83,89,1004.8,1000.9,8,8,13.3,14.5,20,1,1
8.6,12.9,63,26,31,77,62,1004,1003.3,8,8,9.5,11.6,21,1,1
4.5,11.5,26,9,13,82,79,1013.8,1013.5,8,8,7.6,9.4,3.2,1,1
7.6,14.5,35,15,20,83,48,1018,1018.3,8,1,10.1,14,4.8,1,0
7.2,19.2,22,7,6,81,49,1026.9,1024,8,4,10.1,19.1,0,0,0
